Sample,Origin
vir51_GTGAAA_R1,S.Amer
vir52_ACTGAT_R1,Russia
vir86_GAGTGG_R1,C.Amer
vir47_ATCACG_R1,China
vir49_GTGGCC_R1,S.Amer
vir85_GTTTCG_R1,Japan
vir08_ATTCCT_R1,N.Amer
vir00_TAGCTT_R1,N.Amer
vir118_CGTACG_R1,Africa
vir48_GGCTAC_R1,C.Amer
Dvir_flies_1,Genome.strain
vir9_TTAGGC_R1,Japan
Gvir87f_TAGCTT_R1,Unknown
