Sample,Status
amMK1012_ATCACG_R1,100
amCI0518_ATTCCT_R1,0
amCI0515_GATCAG_R1,0
amG96_ATGTCA_R1,100
amCI0538_GTGAAA_R1,0
amML0738_GAGTGG_R1,100
amSB_ACTGAT_R1,100
amML975_TTAGGC_R1,0
