Strain,DINE
vir86,19657.51676
vir52,19403.19806
vir08,21026.53147
vir47,21958.50937
vir9,22060.20626
vir00,16745.23839
vir48,19575.67955
vir49,21031.16088
vir85,19251.06617
vir118,20160.21005
Gvir87f,5645.492816
vir51,20889.22127
Dvir,14489.61
